text,label,language
भुवनेश्वर में हवा कितनी तेज है?,wind,hi
What is the wind speed in Kolkata?,wind,en
ఢిల్లీలో ఈ రోజు వాతావరణం ఎలా ఉంది?,weather_current,te
"Which city is colder, Hyderabad or Kolkata?",weather_comparison,en
चेन्नई चे हवामान अंदाज सांगा.,weather_forecast,mr
ఢిల్లీలో ఉష్ణోగ్రత ఎంత?,temperature,te
బెంగళూరు AQI ఎంత?,air_quality,te
हैदराबाद में आर्द्रता कितनी है?,humidity,hi
ਭੁਵਨੇਸ਼ਵਰ ਵਿੱਚ ਮੌਸਮ ਦੀ ਕੋਈ ਚੇਤਾਵਨੀ ਹੈ?,weather_alert,pa
ବେଙ୍ଗାଲୁରୁରେ କୌଣସି ପାଗ ସତର୍କତା ଅଛି କି?,weather_alert,or
या आठवड्याच्या शेवटी चेन्नई मध्ये हवामान कसे असेल?,weather_forecast,mr
ಪುಣೆನಲ್ಲಿ ಹವಾಮಾನ ಎಚ್ಚರಿಕೆ ಇದೆಯೇ?,weather_alert,kn
రేపు బెంగళూరులో ఉష్ణోగ్రత ఎంత ఉంటుంది?,temperature,te
ਹੈਦਰਾਬਾਦ ਅਤੇ ਪੁਣੇ ਦੇ ਮੌਸਮ ਦੀ ਤੁਲਨਾ ਕਰੋ।,weather_comparison,pa
పుణెలో గాలి ఎంత వేగంగా వీస్తోంది?,wind,te
ਚੇਨਈ ਵਿੱਚ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
இன்று ஹைதராபாத்வில் வானிலை எப்படி இருக்கும்?,weather_current,ta
कोलकाता मध्ये पावसाची शक्यता आहे का?,rain,mr
மும்பைவில் இன்று வானிலை எப்படி இருக்கிறது?,weather_current,ta
चेन्नई मध्ये हवेची गुणवत्ता कशी आहे?,air_quality,mr
বেঙ্গালুরু এর বায়ুর মান কেমন?,air_quality,bn
કોલકાતાનું હવામાન અનુમાન શું છે?,weather_forecast,gu
আগামীকাল ভুবনেশ্বর এর তাপমাত্রা কত থাকবে?,temperature,bn
ఢిల్లీలో గాలి నాణ్యత ఎలా ఉంది?,air_quality,te
భువనేశ్వర్లో సూర్యాస్తమయం ఎప్పుడు?,sunrise_sunset,te
When is sunset in Chennai?,sunrise_sunset,en
દિલ્હી માટે કોઈ હવામાન ચેતવણી છે?,weather_alert,gu
ବେଙ୍ଗାଲୁରୁରେ ଆଜି ପାଗ କେମିତି ଅଛି?,weather_current,or
ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಪುಣೆನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_forecast,kn
या आठवड्याच्या शेवटी पुणे मध्ये हवामान कसे असेल?,weather_forecast,mr
ਕੋਲਕਾਤਾ ਵਿੱਚ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਹੈ?,wind,pa
भुवनेश्वर मध्ये वारा किती जोरात आहे?,wind,mr
कोलकाता में नमी कितनी है?,humidity,hi
দিল্লি এর জন্য কোনো আবহাওয়া সতর্কতা আছে?,weather_alert,bn
મુંબઈમાં આજે હવામાન કેવું છે?,weather_current,gu
ପୁଣେରେ ସୂର୍ଯ୍ୟାସ୍ତ କେତେବେଳେ?,sunrise_sunset,or
ನಾಳೆ ಬೆಂಗಳೂರುನಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,rain,kn
चेन्नई मध्ये पावसाची शक्यता आहे का?,rain,mr
மும்பைவில் காற்று எவ்வளவு வேகமாக வீசுகிறது?,wind,ta
நாளை கொல்கத்தாவில் வானிலை எப்படி இருக்கும்?,weather_forecast,ta
ଭୁବନେଶ୍ୱରରେ ସୂର୍ଯ୍ୟୋଦୟ କେତେବେଳେ?,sunrise_sunset,or
ଭୁବନେଶ୍ୱରର ବର୍ତ୍ତମାନ ପାଗ କେମିତି?,weather_current,or
"Which city is colder, Bengaluru or Hyderabad?",weather_comparison,en
భువనేశ్వర్లో వాతావరణ హెచ్చరిక ఉందా?,weather_alert,te
उद्या चेन्नई मध्ये हवामान कसे असेल?,weather_forecast,mr
बेंगळुरू मध्ये किती दमट आहे?,humidity,mr
હૈદરાબાદમાં હવામાનની કોઈ ચેતવણી છે?,weather_alert,gu
What will the temperature be in Delhi tomorrow?,temperature,en
ஹைதராபாத்வில் காற்று எவ்வளவு வேகமாக வீசுகிறது?,wind,ta
ଦିଲ୍ଲୀରେ ଆର୍ଦ୍ରତା କେତେ?,humidity,or
कल हैदराबाद में मौसम कैसा रहेगा?,weather_forecast,hi
મુંબઈમાં હવાની ગુણવત્તા કેવી છે?,air_quality,gu
ಬೆಂಗಳೂರುನಲ್ಲಿ ಎಷ್ಟು ಬಿಸಿಯಾಗಿದೆ?,temperature,kn
ಪುಣೆನಲ್ಲಿ ಇಂದು ಹವಾಮಾನ ಹೇಗಿದೆ?,weather_current,kn
चेन्नई में तापमान कितना है?,temperature,hi
ਅੱਜ ਹੈਦਰਾਬਾਦ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਰਹੇਗੀ?,humidity,pa
ਅੱਜ ਭੁਵਨੇਸ਼ਵਰ ਦਾ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
ભુવનેશ્વરનું હાલનું હવામાન કેવું છે?,weather_current,gu
ପୁଣେରେ ସୂର୍ଯ୍ୟୋଦୟ କେତେବେଳେ?,sunrise_sunset,or
புவனேஸ்வர் வானிலை முன்னறிவிப்பு என்ன?,weather_forecast,ta
পুনে এ কোনো আবহাওয়া সতর্কতা জারি হয়েছে?,weather_alert,bn
चेन्नई मध्ये तापमान किती आहे?,temperature,mr
আগামীকাল বেঙ্গালুরু এর আবহাওয়া কেমন থাকবে?,weather_forecast,bn
ਮੁੰਬਈ ਵਿੱਚ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
ਪੁਣੇ ਦਾ AQI ਕਿੰਨਾ ਹੈ?,air_quality,pa
பெங்களூரு வானிலை முன்னறிவிப்பு என்ன?,weather_forecast,ta
What is the weather like in Kolkata?,weather_current,en
पुणे मध्ये आर्द्रता किती आहे?,humidity,mr
ପୁଣେରେ ବାୟୁର ଗୁଣବତ୍ତା କେମିତି?,air_quality,or
புவனேஸ்வர்க்கு வானிலை எச்சரிக்கை உள்ளதா?,weather_alert,ta
আজ কি হায়দ্রাবাদ এ বৃষ্টি হবে?,rain,bn
ଚେନ୍ନାଇରେ ବର୍ଷା ହେବାର ସମ୍ଭାବନା ଅଛି କି?,rain,or
मुंबई मध्ये तापमान किती आहे?,temperature,mr
ચેન્નાઈમાં આજે હવામાન કેવું છે?,weather_current,gu
Is rain expected in Bengaluru?,rain,en
நாளை புனேவில் வெப்பநிலை எவ்வளவு இருக்கும்?,temperature,ta
चेन्नई मध्ये आज हवामान कसे आहे?,weather_current,mr
சென்னைவில் ஏதேனும் வானிலை எச்சரிக்கை உள்ளதா?,weather_alert,ta
పుణెలో ఎంత తేమ ఉంది?,humidity,te
বেঙ্গালুরু এর আর্দ্রতা কত?,humidity,bn
ଆସନ୍ତାକାଲି ମୁମ୍ବାଇର ତାପମାତ୍ରା କେତେ ରହିବ?,temperature,or
ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಹೈದರಾಬಾದ್ನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_forecast,kn
दिल्ली में हवा की गति कितनी है?,wind,hi
आज दिल्ली चे हवामान कसे आहे?,weather_current,mr
ನಾಳೆ ದೆಹಲಿನಲ್ಲಿ ತಾಪಮಾನ ಎಷ್ಟು ಇರುತ್ತದೆ?,temperature,kn
ચેન્નાઈમાં સૂર્યાસ્ત કેટલા વાગ્યે થાય છે?,sunrise_sunset,gu
पुणे साठी हवामानाची कोणतीही चेतावणी आहे का?,weather_alert,mr
சென்னைவில் சூரிய அஸ்தமனம் எப்போது?,sunrise_sunset,ta
ಹೈದರಾಬಾದ್ನ AQI ಎಷ್ಟು?,air_quality,kn
দিল্লি এ বাতাস কতটা জোরে বইছে?,wind,bn
How is the weather in Bhubaneswar right now?,weather_current,en
கொல்கத்தாக்கு வானிலை எச்சரிக்கை உள்ளதா?,weather_alert,ta
ਮੁੰਬਈ ਵਿੱਚ ਮੀਂਹ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,rain,pa
ముంబైలో గాలి వేగం ఎంత?,wind,te
उद्या हैदराबाद मध्ये तापमान किती असेल?,temperature,mr
ਭੁਵਨੇਸ਼ਵਰ ਵਿੱਚ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
ਕੋਲਕਾਤਾ ਦਾ ਮੌਸਮ ਪੂਰਵ ਅਨੁਮਾਨ ਕੀ ਹੈ?,weather_forecast,pa
बेंगलुरु में तापमान कितना है?,temperature,hi
புவனேஸ்வர்வில் தற்போதைய வானிலை எப்படி உள்ளது?,weather_current,ta
पुणे में नमी कितनी है?,humidity,hi
दिल्ली मध्ये सूर्यास्त किती वाजता होतो?,sunrise_sunset,mr
আগামীকাল দিল্লি এর তাপমাত্রা কত থাকবে?,temperature,bn
"Which city is colder, Pune or Delhi?",weather_comparison,en
Are there any weather alerts for Pune?,weather_alert,en
क्या कल दिल्ली में बारिश होगी?,rain,hi
हैदराबाद में सूर्योदय कितने बजे होगा?,sunrise_sunset,hi
उद्या कोलकाता मध्ये हवामान कसे असेल?,weather_forecast,mr
ನಾಳೆ ಮುಂಬೈನಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,rain,kn
రేపు కోల్‌కతాలో ఉష్ణోగ్రత ఎంత ఉంటుంది?,temperature,te
How is the air quality in Bengaluru?,air_quality,en
ଭୁବନେଶ୍ୱର ଏବଂ ବେଙ୍ଗାଲୁରୁର ପାଗ ତୁଳନା କରନ୍ତୁ।,weather_comparison,or
ਹੈਦਰਾਬਾਦ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਹੈ?,temperature,pa
ପୁଣେରେ ପବନର ବେଗ କେତେ?,wind,or
ஹைதராபாத் வானிலை முன்னறிவிப்பு என்ன?,weather_forecast,ta
আগামীকাল কি পুনে এ বৃষ্টি হবে?,rain,bn
कोलकाता के लिए कोई मौसम चेतावनी है?,weather_alert,hi
હૈદરાબાદમાં હવાની ગુણવત્તા કેવી છે?,air_quality,gu
"ಹೈದರಾಬಾದ್ ಅಥವಾ ದೆಹಲಿ, ಯಾವುದು ಹೆಚ್ಚು ತಂಪಾಗಿದೆ?",weather_comparison,kn
बेंगळुरू मध्ये सूर्यास्त किती वाजता होतो?,sunrise_sunset,mr
What weather can I expect in Pune tomorrow?,weather_forecast,en
क्या कल भुवनेश्वर में बारिश होगी?,rain,hi
Will it rain tomorrow in Bengaluru?,rain,en
ਕੋਲਕਾਤਾ ਵਿੱਚ ਮੀਂਹ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,rain,pa
બેંગલુરુનું હવામાન અનુમાન શું છે?,weather_forecast,gu
ਦਿੱਲੀ ਲਈ ਕੋਈ ਮੌਸਮ ਚੇਤਾਵਨੀ ਹੈ?,weather_alert,pa
दिल्ली में हवा की गुणवत्ता कैसी है?,air_quality,hi
Tell me the current weather in Delhi.,weather_current,en
मुंबई मध्ये पावसाची शक्यता आहे का?,rain,mr
આજે ચેન્નાઈમાં વરસાદ પડશે?,rain,gu
કાલે દિલ્હીમાં તાપમાન કેટલું રહેશે?,temperature,gu
हैदराबाद का AQI कितना है?,air_quality,hi
ਮੁੰਬਈ ਵਿੱਚ ਸੂਰਜ ਕਿੰਨੇ ਵਜੇ ਡੁੱਬਦਾ ਹੈ?,sunrise_sunset,pa
ଆଜି ଦିଲ୍ଲୀରେ ବର୍ଷା ହେବ କି?,rain,or
बेंगलुरु का AQI कितना है?,air_quality,hi
How windy is it in Bhubaneswar?,wind,en
পুনে এ আজ আবহাওয়া কেমন?,weather_current,bn
ಚೆನ್ನೈನಲ್ಲಿ ಪ್ರಸ್ತುತ ಹವಾಮಾನ ಹೇಗಿದೆ?,weather_current,kn
ਕੋਲਕਾਤਾ ਦਾ ਮੌਸਮ ਪੂਰਵ ਅਨੁਮਾਨ ਕੀ ਹੈ?,weather_forecast,pa
What will the temperature be in Chennai tomorrow?,temperature,en
मुंबई में आर्द्रता कितनी है?,humidity,hi
கொல்கத்தாவின் AQI எவ்வளவு?,air_quality,ta
দিল্লি এবং চেন্নাই এর আবহাওয়ার তুলনা করুন।,weather_comparison,bn
ଭୁବନେଶ୍ୱର ପାଇଁ କୌଣସି ପାଣିପାଗ ସତର୍କତା ଅଛି କି?,weather_alert,or
ଆସନ୍ତାକାଲି ବେଙ୍ଗାଲୁରୁରେ ପାଗ କେମିତି ରହିବ?,weather_forecast,or
ଏହି ସପ୍ତାହ ଶେଷରେ ବେଙ୍ଗାଲୁରୁର ପାଗ କେମିତି ରହିବ?,weather_forecast,or
ମୁମ୍ବାଇରେ ସୂର୍ଯ୍ୟାସ୍ତ କେତେବେଳେ?,sunrise_sunset,or
ହାଇଦ୍ରାବାଦ ଏବଂ ବେଙ୍ଗାଲୁରୁର ପାଗ ତୁଳନା କରନ୍ତୁ।,weather_comparison,or
চেন্নাই এ কতটা গরম?,temperature,bn
How will the weather be in Bengaluru this weekend?,weather_forecast,en
ஹைதராபாத்வில் வெப்பநிலை எவ்வளவு?,temperature,ta
పుణెకి వాతావరణ హెచ్చరికలు ఏమైనా ఉన్నాయా?,weather_alert,te
આજે પુણેમાં ભેજ કેટલો રહેશે?,humidity,gu
பெங்களூருவில் இன்று வானிலை எப்படி இருக்கிறது?,weather_current,ta
చెన్నైలో గాలి ఎంత వేగంగా వీస్తోంది?,wind,te
আগামীকাল কি হায়দ্রাবাদ এ বৃষ্টি হবে?,rain,bn
আগামীকাল কি চেন্নাই এ বৃষ্টি হবে?,rain,bn
भुवनेश्वर आणि कोलकाता पैकी कोणते शहर थंड आहे?,weather_comparison,mr
Tell me the current weather in Pune.,weather_current,en
क्या कल हैदराबाद में बारिश होगी?,rain,hi
পুনে এর আবহাওয়ার পূর্বাভাস কী?,weather_forecast,bn
મુંબઈ અને ભુવનેશ્વરમાંથી કયું વધુ ઠંડું છે?,weather_comparison,gu
What time does the sun rise in Kolkata?,sunrise_sunset,en
ଚେନ୍ନାଇ ପାଇଁ କୌଣସି ପାଣିପାଗ ସତର୍କତା ଅଛି କି?,weather_alert,or
আগামীকাল হায়দ্রাবাদ এর আবহাওয়া কেমন থাকবে?,weather_forecast,bn
दिल्ली में आज मौसम कैसा है?,weather_current,hi
ଆସନ୍ତାକାଲି ପୁଣେରେ ବର୍ଷା ହେବ କି?,rain,or
மும்பைவில் எவ்வளவு ஈரப்பதமாக உள்ளது?,humidity,ta
দিল্লি এর তাপমাত্রা কত?,temperature,bn
ଆସନ୍ତାକାଲି ହାଇଦ୍ରାବାଦରେ ପାଗ କେମିତି ରହିବ?,weather_forecast,or
চেন্নাই এ সূর্যাস্ত কখন?,sunrise_sunset,bn
ಹೈದರಾಬಾದ್ಗೆ ಯಾವುದೇ ಹವಾಮಾನ ಎಚ್ಚರಿಕೆ ಇದೆಯೇ?,weather_alert,kn
হায়দ্রাবাদ এ আজ আবহাওয়া কেমন?,weather_current,bn
ಕೊಲ್ಕತ್ತಾನಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,humidity,kn
ಮುಂಬೈನಲ್ಲಿ ಸೂರ್ಯೋದಯ ಯಾವಾಗ?,sunrise_sunset,kn
કોલકાતા અને ચેન્નાઈમાંથી કયું વધુ ઠંડું છે?,weather_comparison,gu
আগামীকাল কি দিল্লি এ বৃষ্টি হবে?,rain,bn
ଚେନ୍ନାଇରେ ସୂର୍ଯ୍ୟୋଦୟ କେତେବେଳେ?,sunrise_sunset,or
पुणे और भुवनेश्वर में किसका मौसम बेहतर है?,weather_comparison,hi
এই সপ্তাহান্তে পুনে এর আবহাওয়া কেমন হবে?,weather_forecast,bn
ମୁମ୍ବାଇରେ ପବନର ବେଗ କେତେ?,wind,or
পুনে এর জন্য কোনো আবহাওয়া সতর্কতা আছে?,weather_alert,bn
ਕੀ ਕੱਲ੍ਹ ਹੈਦਰਾਬਾਦ ਵਿੱਚ ਮੀਂਹ ਪਵੇਗਾ?,rain,pa
ನಾಳೆ ಚೆನ್ನೈನಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,rain,kn
What weather can I expect in Bengaluru tomorrow?,weather_forecast,en
आज दिल्ली चे हवामान कसे आहे?,weather_current,mr
बेंगळुरू मधील सध्याचे हवामान कसे आहे?,weather_current,mr
कोलकाता चे हवामान अंदाज सांगा.,weather_forecast,mr
ಚೆನ್ನೈನಲ್ಲಿ ಗಾಳಿ ಎಷ್ಟು ವೇಗವಾಗಿ ಬೀಸುತ್ತಿದೆ?,wind,kn
ఢిల్లీలో గాలి నాణ్యత ఎలా ఉంది?,air_quality,te
भुवनेश्वर मध्ये हवामानाचा इशारा आहे का?,weather_alert,mr
பெங்களூருவில் காற்றின் வேகம் எவ்வளவு?,wind,ta
पुणे में सूर्यास्त कितने बजे होगा?,sunrise_sunset,hi
ಕೊಲ್ಕತ್ತಾನಲ್ಲಿ ಗಾಳಿ ಎಷ್ಟು ವೇಗವಾಗಿ ಬೀಸುತ್ತಿದೆ?,wind,kn
ਪੁਣੇ ਵਿੱਚ ਇਸ ਵੇਲੇ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
ହାଇଦ୍ରାବାଦରେ ପବନ କେତେ ଜୋରରେ ବହୁଛି?,wind,or
Compare the weather in Bhubaneswar and Bengaluru.,weather_comparison,en
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,rain,kn
हैदराबाद में कितनी गर्मी है?,temperature,hi
आज पुणे चे हवामान कसे आहे?,weather_current,mr
ਚੇਨਈ ਵਿੱਚ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,air_quality,pa
"బెంగళూరు లేదా పుణె, ఏది చల్లగా ఉంది?",weather_comparison,te
இன்று கொல்கத்தாவில் ஈரப்பதம் எவ்வளவு இருக்கும்?,humidity,ta
उद्या पुणे मध्ये हवामान कसे असेल?,weather_forecast,mr
ஹைதராபாத்வில் எவ்வளவு ஈரப்பதமாக உள்ளது?,humidity,ta
ભુવનેશ્વરમાં પવનની ઝડપ કેટલી છે?,wind,gu
இன்று ஹைதராபாத்வில் மழை பெய்யுமா?,rain,ta
மும்பைவின் AQI எவ்வளவு?,air_quality,ta
Will it rain tomorrow in Mumbai?,rain,en
हैदराबाद में हवा की गुणवत्ता कैसी है?,air_quality,hi
पुणे में सूर्योदय कितने बजे होगा?,sunrise_sunset,hi
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਸੂਰਜ ਕਿੰਨੇ ਵਜੇ ਚੜ੍ਹਦਾ ਹੈ?,sunrise_sunset,pa
চেন্নাই এর বায়ুর মান কেমন?,air_quality,bn
हैदराबाद चा AQI किती आहे?,air_quality,mr
बेंगलुरु में मौसम की कोई चेतावनी है?,weather_alert,hi
भुवनेश्वर मध्ये किती उष्णता आहे?,temperature,mr
ఢిల్లీలో వాతావరణ హెచ్చరిక ఉందా?,weather_alert,te
What is the AQI in Bhubaneswar?,air_quality,en
આજે ભુવનેશ્વરમાં વરસાદ પડશે?,rain,gu
How cold is it in Pune?,temperature,en
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਵੇਲੇ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,weather_current,pa
ଏହି ସପ୍ତାହ ଶେଷରେ ହାଇଦ୍ରାବାଦର ପାଗ କେମିତି ରହିବ?,weather_forecast,or
ಇಂದು ಹೈದರಾಬಾದ್ನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_current,kn
कल मुंबई में मौसम कैसा रहेगा?,weather_forecast,hi
What is the weather like in Bhubaneswar?,weather_current,en
நாளை புவனேஸ்வர்வில் மழை பெய்யுமா?,rain,ta
ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಪುಣೆನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,weather_forecast,kn
ਕੱਲ੍ਹ ਭੁਵਨੇਸ਼ਵਰ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਰਹੇਗਾ?,temperature,pa
हैदराबाद चे हवामान अंदाज सांगा.,weather_forecast,mr
ਕੱਲ੍ਹ ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,weather_forecast,pa
హైదరాబాద్లో వర్షం పడే అవకాశం ఉందా?,rain,te
भुवनेश्वर मध्ये आज हवामान कसे आहे?,weather_current,mr
भुवनेश्वर और पुणे के मौसम की तुलना करो।,weather_comparison,hi
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਕਿੰਨੀ ਨਮੀ ਹੈ?,humidity,pa
ਪੁਣੇ ਵਿੱਚ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਹੈ?,wind,pa
What will the weather be like in Delhi tomorrow?,weather_forecast,en
What is the weather like in Mumbai?,weather_current,en
पुणे मध्ये तापमान किती आहे?,temperature,mr
चेन्नई में हवा की गति कितनी है?,wind,hi
दिल्ली आणि हैदराबाद पैकी कोणते शहर थंड आहे?,weather_comparison,mr
రేపు చెన్నైలో వర్షం పడుతుందా?,rain,te
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਹੈ?,wind,pa
कोलकाता मध्ये तापमान किती आहे?,temperature,mr
புனேவில் சூரிய அஸ்தமனம் எப்போது?,sunrise_sunset,ta
કોલકાતામાં ભેજ કેટલો છે?,humidity,gu
हैदराबाद मध्ये हवामानाचा इशारा आहे का?,weather_alert,mr
भुवनेश्वर और पुणे में किसका मौसम बेहतर है?,weather_comparison,hi
"హైదరాబాద్ లేదా బెంగళూరు, ఏది చల్లగా ఉంది?",weather_comparison,te
କୋଲକାତାରେ କୌଣସି ପାଗ ସତର୍କତା ଅଛି କି?,weather_alert,or
ಕೊಲ್ಕತ್ತಾನಲ್ಲಿ ಗಾಳಿಯ ವೇಗ ಎಷ್ಟು?,wind,kn
What is the chance of rain in Pune?,rain,en
சென்னை வானிலை முன்னறிவிப்பு என்ன?,weather_forecast,ta
બેંગલુરુમાં કેટલી ગરમી છે?,temperature,gu
భువనేశ్వర్లో వాతావరణ హెచ్చరిక ఉందా?,weather_alert,te
ಭುವನೇಶ್ವರನಲ್ಲಿ ಮಳೆಯ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,rain,kn
ਕੋਲਕਾਤਾ ਵਿੱਚ ਸੂਰਜ ਕਿੰਨੇ ਵਜੇ ਚੜ੍ਹਦਾ ਹੈ?,sunrise_sunset,pa
ఈ రోజు చెన్నైలో వర్షం పడుతుందా?,rain,te
ਕੀ ਕੱਲ੍ਹ ਚੇਨਈ ਵਿੱਚ ਮੀਂਹ ਪਵੇਗਾ?,rain,pa
How hot is it in Mumbai?,temperature,en
ਭੁਵਨੇਸ਼ਵਰ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਹੈ?,temperature,pa
ಭುವನೇಶ್ವರನಲ್ಲಿ ಪ್ರಸ್ತುತ ಹವಾಮಾನ ಹೇಗಿದೆ?,weather_current,kn
দিল্লি এর আবহাওয়া আমাকে বলুন।,weather_current,bn
What weather can I expect in Delhi tomorrow?,weather_forecast,en
What is the humidity in Pune?,humidity,en
