text,language,intent,entities
આ અઠવાડિયાના અંતે ચેન્નાઈમાં હવામાન કેવું રહેશે?,gu,weather_forecast,"[[""આ અઠવાડિયાના અંતે"", ""DATE""], [""ચેન્નાઈમાં"", ""LOCATION""]]"
ముంబైలో గాలి వేగం ఎంత?,te,wind,"[[""ముంబైలో"", ""LOCATION""], [""గాలి"", ""WEATHER_ATTRIBUTE""]]"
দিল্লিতে আর্দ্রতা কত?,bn,humidity,"[[""দিল্লি"", ""LOCATION""], [""আর্দ্রতা"", ""WEATHER_ATTRIBUTE""]]"
मुंबईतील वाऱ्याचा वेग किती आहे?,mr,wind,"[[""मुंबईतील"", ""LOCATION""], [""वारा"", ""WEATHER_ATTRIBUTE""]]"
আজ দিল্লির বায়ুর মান কেমন?,bn,air_quality,"[[""আজ"", ""DATE""], [""দিল্লি"", ""LOCATION""], [""বায়ুর মান"", ""WEATHER_ATTRIBUTE""]]"
আজ দিল্লিতে বাতাস কত জোরে বইছে?,bn,wind,"[[""আজ"", ""DATE""], [""দিল্লি"", ""LOCATION""], [""বাতাস"", ""WEATHER_ATTRIBUTE""]]"
What is the temperature in Delhi today?,en,temperature,"[[""Delhi"", ""LOCATION""], [""today"", ""DATE""]]"
মুম্বাইয়ের বায়ুর মান কেমন?,bn,air_quality,"[[""মুম্বাই"", ""LOCATION""], [""বায়ুর মান"", ""WEATHER_ATTRIBUTE""]]"
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn,weather_current,"[[""ಇಂದು"", ""DATE""], [""ಮುಂಬೈನಲ್ಲಿ"", ""LOCATION""]]"
ఈ వారాంతంలో చెన్నైలో వాతావరణం ఎలా ఉంటుంది?,te,weather_forecast,"[[""ఈ వారాంతంలో"", ""DATE""], [""చెన్నైలో"", ""LOCATION""]]"
આજે મુંબઈમાં વરસાદની શક્યતા છે?,gu,rain,"[[""આજે"", ""DATE""], [""મુંબઈમાં"", ""LOCATION""], [""વરસાદ"", ""WEATHER_ATTRIBUTE""]]"
इस सप्ताह के अंत में चेन्नई का मौसम कैसा रहेगा?,hi,weather_forecast,"[[""इस सप्ताह के अंत में"", ""DATE""], [""चेन्नई"", ""LOCATION""]]"
டெல்லியில் வானிலை எப்படி உள்ளது?,ta,weather_current,"[[""டெல்லி"", ""LOCATION""]]"
ਅੱਜ ਚੇਨਈ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,pa,humidity,"[[""ਅੱਜ"", ""DATE""], [""ਚੇਨਈ"", ""LOCATION""], [""ਨਮੀ"", ""WEATHER_ATTRIBUTE""]]"
આજે દિલ્હીમાં પવન કેટલો ઝડપી છે?,gu,wind,"[[""આજે"", ""DATE""], [""દિલ્હીમાં"", ""LOCATION""], [""પવન"", ""WEATHER_ATTRIBUTE""]]"
மும்பையில் இப்போது எவ்வளவு வெப்பமாக உள்ளது?,ta,temperature,"[[""மும்பை"", ""LOCATION""], [""இப்போது"", ""DATE""]]"
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಮಳೆಯ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn,rain,"[[""ಇಂದು"", ""DATE""], [""ಮುಂಬೈನಲ್ಲಿ"", ""LOCATION""], [""ಮಳೆ"", ""WEATHER_ATTRIBUTE""]]"
आज दिल्लीतील हवेची गुणवत्ता कशी आहे?,mr,air_quality,"[[""आज"", ""DATE""], [""दिल्लीतील"", ""LOCATION""], [""हवेची गुणवत्ता"", ""WEATHER_ATTRIBUTE""]]"
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,kn,rain,"[[""ನಾಳೆ"", ""DATE""], [""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""], [""ಮಳೆ"", ""WEATHER_ATTRIBUTE""]]"
ਮੁੰਬਈ ਵਿੱਚ ਹੁਣ ਕਿੰਨੀ ਗਰਮੀ ਹੈ?,pa,temperature,"[[""ਮੁੰਬਈ"", ""LOCATION""], [""ਹੁਣ"", ""DATE""]]"
કાલે દિલ્હીમાં હવામાન કેવું રહેશે?,gu,weather_forecast,"[[""કાલે"", ""DATE""], [""દિલ્હીમાં"", ""LOCATION""]]"
મુંબઈમાં પવનની ઝડપ કેટલી છે?,gu,wind,"[[""મુંબઈમાં"", ""LOCATION""], [""પવન"", ""WEATHER_ATTRIBUTE""]]"
ഇന്ന് മുംബൈയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,ml,weather_current,"[[""ഇന്ന്"", ""DATE""], [""മുംബൈയിലെ"", ""LOCATION""]]"
આજે મુંબઈમાં હવામાન કેવું છે?,gu,weather_current,"[[""આજે"", ""DATE""], [""મુંબઈમાં"", ""LOCATION""]]"
ഇന്ന് ചെന്നൈയിലെ ഈർപ്പം എത്രയാണ്?,ml,humidity,"[[""ഇന്ന്"", ""DATE""], [""ചെന്നൈയിലെ"", ""LOCATION""], [""ഈർപ്പം"", ""WEATHER_ATTRIBUTE""]]"
ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,pa,weather_current,"[[""ਦਿੱਲੀ"", ""LOCATION""]]"
દિલ્હીમાં ભેજ કેટલો છે?,gu,humidity,"[[""દિલ્હીમાં"", ""LOCATION""], [""ભેજ"", ""WEATHER_ATTRIBUTE""]]"
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਹੈ?,pa,temperature,"[[""ਅੱਜ"", ""DATE""], [""ਦਿੱਲੀ"", ""LOCATION""]]"
आज दिल्ली में हवा कितनी तेज है?,hi,wind,"[[""आज"", ""DATE""], [""दिल्ली"", ""LOCATION""], [""हवा"", ""WEATHER_ATTRIBUTE""]]"
या आठवड्याच्या शेवटी चेन्नईतील हवामान कसे असेल?,mr,weather_forecast,"[[""या आठवड्याच्या शेवटी"", ""DATE""], [""चेन्नईतील"", ""LOCATION""]]"
இன்று டெல்லியில் வெப்பநிலை என்ன?,ta,temperature,"[[""இன்று"", ""DATE""], [""டெல்லி"", ""LOCATION""]]"
आज मुंबईत पावसाची शक्यता आहे का?,mr,rain,"[[""आज"", ""DATE""], [""मुंबईत"", ""LOCATION""], [""पाऊस"", ""WEATHER_ATTRIBUTE""]]"
आज दिल्लीमध्ये वारा किती वेगाने वाहत आहे?,mr,wind,"[[""आज"", ""DATE""], [""दिल्लीमध्ये"", ""LOCATION""], [""वारा"", ""WEATHER_ATTRIBUTE""]]"
আজ মুম্বাইয়ে বৃষ্টির সম্ভাবনা আছে কি?,bn,rain,"[[""আজ"", ""DATE""], [""মুম্বাই"", ""LOCATION""], [""বৃষ্টি"", ""WEATHER_ATTRIBUTE""]]"
ਮੁੰਬਈ ਵਿੱਚ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਹੈ?,pa,wind,"[[""ਮੁੰਬਈ"", ""LOCATION""], [""ਹਵਾ"", ""WEATHER_ATTRIBUTE""]]"
How strong is the wind in Delhi today?,en,wind,"[[""Delhi"", ""LOCATION""], [""today"", ""DATE""], [""wind"", ""WEATHER_ATTRIBUTE""]]"
આજે દિલ્હીની હવાની ગુણવત્તા કેવી છે?,gu,air_quality,"[[""આજે"", ""DATE""], [""દિલ્હીની"", ""LOCATION""], [""હવાની ગુણવત્તા"", ""WEATHER_ATTRIBUTE""]]"
आज मुंबई में मौसम कैसा है?,hi,weather_current,"[[""आज"", ""DATE""], [""मुंबई"", ""LOCATION""]]"
ఈ రోజు ఢిల్లీలో గాలి నాణ్యత ఎలా ఉంది?,te,air_quality,"[[""ఈ రోజు"", ""DATE""], [""ఢిల్లీలో"", ""LOCATION""], [""గాలి నాణ్యత"", ""WEATHER_ATTRIBUTE""]]"
రేపు ఢిల్లీలో వాతావరణం ఎలా ఉంటుంది?,te,weather_forecast,"[[""రేపు"", ""DATE""], [""ఢిల్లీలో"", ""LOCATION""]]"
How hot is it in Mumbai right now?,en,temperature,"[[""Mumbai"", ""LOCATION""], [""right now"", ""DATE""]]"
মুম্বাইয়ে এখন কত গরম?,bn,temperature,"[[""মুম্বাই"", ""LOCATION""], [""এখন"", ""DATE""]]"
ഇന്ന് ഡൽഹിയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,ml,air_quality,"[[""ഇന്ന്"", ""DATE""], [""ഡൽഹിയിലെ"", ""LOCATION""], [""വായുവിന്റെ ഗുണനിലവാരം"", ""WEATHER_ATTRIBUTE""]]"
நாளை டெல்லியின் வானிலை எப்படி இருக்கும்?,ta,weather_forecast,"[[""நாளை"", ""DATE""], [""டெல்லி"", ""LOCATION""]]"
இந்த வார இறுதியில் சென்னையின் வானிலை எப்படி இருக்கும்?,ta,weather_forecast,"[[""இந்த வார இறுதியில்"", ""DATE""], [""சென்னை"", ""LOCATION""]]"
What is the air quality in Delhi today?,en,air_quality,"[[""Delhi"", ""LOCATION""], [""today"", ""DATE""], [""air quality"", ""WEATHER_ATTRIBUTE""]]"
டெல்லியில் ஈரப்பதம் எவ்வளவு?,ta,humidity,"[[""டெல்லி"", ""LOCATION""], [""ஈரப்பதம்"", ""WEATHER_ATTRIBUTE""]]"
What is the wind speed in Mumbai?,en,wind,"[[""Mumbai"", ""LOCATION""], [""wind"", ""WEATHER_ATTRIBUTE""]]"
How is the air quality in Mumbai?,en,air_quality,"[[""Mumbai"", ""LOCATION""], [""air quality"", ""WEATHER_ATTRIBUTE""]]"
ದೆಹಲಿಯಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,kn,humidity,"[[""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""], [""ತೇವಾಂಶ"", ""WEATHER_ATTRIBUTE""]]"
ಮುಂಬೈನಲ್ಲಿ ಗಾಳಿಯ ವೇಗ ಎಷ್ಟು?,kn,wind,"[[""ಮುಂಬೈನಲ್ಲಿ"", ""LOCATION""], [""ಗಾಳಿ"", ""WEATHER_ATTRIBUTE""]]"
मुंबई में वायु गुणवत्ता कैसी है?,hi,air_quality,"[[""मुंबई"", ""LOCATION""], [""वायु गुणवत्ता"", ""WEATHER_ATTRIBUTE""]]"
मुंबई में अभी कितनी गर्मी है?,hi,temperature,"[[""मुंबई"", ""LOCATION""], [""अभी"", ""DATE""]]"
ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,ml,weather_current,"[[""ഡൽഹിയിലെ"", ""LOCATION""]]"
இன்று மும்பையின் வானிலை எப்படி உள்ளது?,ta,weather_current,"[[""இன்று"", ""DATE""], [""மும்பை"", ""LOCATION""]]"
இன்று டெல்லியின் காற்றின் தரம் எப்படி உள்ளது?,ta,air_quality,"[[""இன்று"", ""DATE""], [""டெல்லி"", ""LOCATION""], [""காற்றின் தரம்"", ""WEATHER_ATTRIBUTE""]]"
ഡൽഹിയിലെ ഈർപ്പം എത്രയാണ്?,ml,humidity,"[[""ഡൽഹിയിലെ"", ""LOCATION""], [""ഈർപ്പം"", ""WEATHER_ATTRIBUTE""]]"
दिल्ली में नमी कितनी है?,hi,humidity,"[[""दिल्ली"", ""LOCATION""], [""नमी"", ""WEATHER_ATTRIBUTE""]]"
ಮುಂಬೈನ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,kn,air_quality,"[[""ಮುಂಬೈನ"", ""LOCATION""], [""ಗಾಳಿಯ ಗುಣಮಟ್ಟ"", ""WEATHER_ATTRIBUTE""]]"
મુંબઈની હવાની ગુણવત્તા કેવી છે?,gu,air_quality,"[[""મુંબઈની"", ""LOCATION""], [""હવાની ગુણવત્તા"", ""WEATHER_ATTRIBUTE""]]"
What is the weather in Delhi?,en,weather_current,"[[""Delhi"", ""LOCATION""]]"
ಮುಂಬೈನಲ್ಲಿ ಈಗ ಎಷ್ಟು ಬಿಸಿಯಾಗಿದೆ?,kn,temperature,"[[""ಮುಂಬೈನಲ್ಲಿ"", ""LOCATION""], [""ಈಗ"", ""DATE""]]"
ਕੀ ਕੱਲ੍ਹ ਦਿੱਲੀ ਵਿੱਚ ਮੀਂਹ ਪਵੇਗਾ?,pa,rain,"[[""ਕੱਲ੍ਹ"", ""DATE""], [""ਦਿੱਲੀ"", ""LOCATION""], [""ਮੀਂਹ"", ""WEATHER_ATTRIBUTE""]]"
मुंबईत आत्ता किती उष्णता आहे?,mr,temperature,"[[""मुंबईत"", ""LOCATION""], [""आत्ता"", ""DATE""]]"
ਕੀ ਅੱਜ ਮੁੰਬਈ ਵਿੱਚ ਮੀਂਹ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa,rain,"[[""ਅੱਜ"", ""DATE""], [""ਮੁੰਬਈ"", ""LOCATION""], [""ਮੀਂਹ"", ""WEATHER_ATTRIBUTE""]]"
ਮੁੰਬਈ ਦੀ ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ ਕਿਹੋ ਜਿਹੀ ਹੈ?,pa,air_quality,"[[""ਮੁੰਬਈ"", ""LOCATION""], [""ਹਵਾ ਦੀ ਗੁਣਵੱਤਾ"", ""WEATHER_ATTRIBUTE""]]"
மும்பையில் காற்றின் வேகம் என்ன?,ta,wind,"[[""மும்பை"", ""LOCATION""], [""காற்று"", ""WEATHER_ATTRIBUTE""]]"
ముంబైలో గాలి నాణ్యత ఎలా ఉంది?,te,air_quality,"[[""ముంబైలో"", ""LOCATION""], [""గాలి నాణ్యత"", ""WEATHER_ATTRIBUTE""]]"
મુંબઈમાં અત્યારે કેટલી ગરમી છે?,gu,temperature,"[[""મુંબઈમાં"", ""LOCATION""], [""અત્યારે"", ""DATE""]]"
मुंबईतील हवेची गुणवत्ता कशी आहे?,mr,air_quality,"[[""मुंबईतील"", ""LOCATION""], [""हवेची गुणवत्ता"", ""WEATHER_ATTRIBUTE""]]"
આજે ચેન્નાઈમાં ભેજ કેટલો છે?,gu,humidity,"[[""આજે"", ""DATE""], [""ચેન્નાઈમાં"", ""LOCATION""], [""ભેજ"", ""WEATHER_ATTRIBUTE""]]"
मुंबई में हवा की गति क्या है?,hi,wind,"[[""मुंबई"", ""LOCATION""], [""हवा"", ""WEATHER_ATTRIBUTE""]]"
आज मुंबईतील हवामान कसे आहे?,mr,weather_current,"[[""आज"", ""DATE""], [""मुंबईतील"", ""LOCATION""]]"
How will the weather in Chennai be this weekend?,en,weather_forecast,"[[""Chennai"", ""LOCATION""], [""this weekend"", ""DATE""]]"
आज चेन्नईतील आर्द्रता किती आहे?,mr,humidity,"[[""आज"", ""DATE""], [""चेन्नईतील"", ""LOCATION""], [""आर्द्रता"", ""WEATHER_ATTRIBUTE""]]"
రేపు ఢిల్లీలో వర్షం పడుతుందా?,te,rain,"[[""రేపు"", ""DATE""], [""ఢిల్లీలో"", ""LOCATION""], [""వర్షం"", ""WEATHER_ATTRIBUTE""]]"
আজ মুম্বাইয়ের আবহাওয়া কেমন?,bn,weather_current,"[[""আজ"", ""DATE""], [""মুম্বাই"", ""LOCATION""]]"
மும்பையின் காற்றின் தரம் எப்படி உள்ளது?,ta,air_quality,"[[""மும்பை"", ""LOCATION""], [""காற்றின் தரம்"", ""WEATHER_ATTRIBUTE""]]"
क्या आज मुंबई में बारिश की संभावना है?,hi,rain,"[[""आज"", ""DATE""], [""मुंबई"", ""LOCATION""], [""बारिश"", ""WEATHER_ATTRIBUTE""]]"
How humid is Chennai today?,en,humidity,"[[""Chennai"", ""LOCATION""], [""today"", ""DATE""]]"
Will it rain in Delhi tomorrow?,en,rain,"[[""Delhi"", ""LOCATION""], [""tomorrow"", ""DATE""], [""rain"", ""WEATHER_ATTRIBUTE""]]"
ಇಂದು ದೆಹಲಿಯಲ್ಲಿ ಗಾಳಿ ಎಷ್ಟು ವೇಗವಾಗಿದೆ?,kn,wind,"[[""ಇಂದು"", ""DATE""], [""ದೆಹಲಿಯಲ್ಲಿ"", ""LOCATION""], [""ಗಾಳಿ"", ""WEATHER_ATTRIBUTE""]]"
क्या कल दिल्ली में बारिश होगी?,hi,rain,"[[""कल"", ""DATE""], [""दिल्ली"", ""LOCATION""], [""बारिश"", ""WEATHER_ATTRIBUTE""]]"
आज दिल्ली की वायु गुणवत्ता कैसी है?,hi,air_quality,"[[""आज"", ""DATE""], [""दिल्ली"", ""LOCATION""], [""वायु गुणवत्ता"", ""WEATHER_ATTRIBUTE""]]"
আজ চেন্নাইয়ে আর্দ্রতা কত?,bn,humidity,"[[""আজ"", ""DATE""], [""চেন্নাই"", ""LOCATION""], [""আর্দ্রতা"", ""WEATHER_ATTRIBUTE""]]"
ఈ రోజు ముంబైలో వాతావరణం ఎలా ఉంది?,te,weather_current,"[[""ఈ రోజు"", ""DATE""], [""ముంబై"", ""LOCATION""]]"
ఢిల్లీలో తేమ ఎంత ఉంది?,te,humidity,"[[""ఢిల్లీలో"", ""LOCATION""], [""తేమ"", ""WEATHER_ATTRIBUTE""]]"
दिल्लीमध्ये हवामान कसे आहे?,mr,weather_current,"[[""दिल्लीमध्ये"", ""LOCATION""]]"
What is the humidity in Delhi?,en,humidity,"[[""Delhi"", ""LOCATION""]]"
