text,label
આ અઠવાડિયાના અંતે ચેન્નાઈમાં હવામાન કેવું રહેશે?,gu
ముంబైలో గాలి వేగం ఎంత?,te
দিল্লিতে আর্দ্রতা কত?,bn
मुंबईतील वाऱ्याचा वेग किती आहे?,mr
আজ দিল্লির বায়ুর মান কেমন?,bn
আজ দিল্লিতে বাতাস কত জোরে বইছে?,bn
What is the temperature in Delhi today?,en
মুম্বাইয়ের বায়ুর মান কেমন?,bn
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn
ఈ వారాంతంలో చెన్నైలో వాతావరణం ఎలా ఉంటుంది?,te
આજે મુંબઈમાં વરસાદની શક્યતા છે?,gu
इस सप्ताह के अंत में चेन्नई का मौसम कैसा रहेगा?,hi
டெல்லியில் வானிலை எப்படி உள்ளது?,ta
ਅੱਜ ਚੇਨਈ ਵਿੱਚ ਨਮੀ ਕਿੰਨੀ ਹੈ?,pa
આજે દિલ્હીમાં પવન કેટલો ઝડપી છે?,gu
மும்பையில் இப்போது எவ்வளவு வெப்பமாக உள்ளது?,ta
ಇಂದು ಮುಂಬೈನಲ್ಲಿ ಮಳೆಯ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn
आज दिल्लीतील हवेची गुणवत्ता कशी आहे?,mr
ನಾಳೆ ದೆಹಲಿಯಲ್ಲಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,kn
ਮੁੰਬਈ ਵਿੱਚ ਹੁਣ ਕਿੰਨੀ ਗਰਮੀ ਹੈ?,pa
કાલે દિલ્હીમાં હવામાન કેવું રહેશે?,gu
મુંબઈમાં પવનની ઝડપ કેટલી છે?,gu
ഇന്ന് മുംബൈയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,ml
આજે મુંબઈમાં હવામાન કેવું છે?,gu
ഇന്ന് ചെന്നൈയിലെ ഈർപ്പം എത്രയാണ്?,ml
ਦਿੱਲੀ ਵਿੱਚ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,pa
દિલ્હીમાં ભેજ કેટલો છે?,gu
ਅੱਜ ਦਿੱਲੀ ਵਿੱਚ ਤਾਪਮਾਨ ਕਿੰਨਾ ਹੈ?,pa
आज दिल्ली में हवा कितनी तेज है?,hi
या आठवड्याच्या शेवटी चेन्नईतील हवामान कसे असेल?,mr
இன்று டெல்லியில் வெப்பநிலை என்ன?,ta
आज मुंबईत पावसाची शक्यता आहे का?,mr
आज दिल्लीमध्ये वारा किती वेगाने वाहत आहे?,mr
আজ মুম্বাইয়ে বৃষ্টির সম্ভাবনা আছে কি?,bn
ਮੁੰਬਈ ਵਿੱਚ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਹੈ?,pa
How strong is the wind in Delhi today?,en
આજે દિલ્હીની હવાની ગુણવત્તા કેવી છે?,gu
आज मुंबई में मौसम कैसा है?,hi
ఈ రోజు ఢిల్లీలో గాలి నాణ్యత ఎలా ఉంది?,te
రేపు ఢిల్లీలో వాతావరణం ఎలా ఉంటుంది?,te
How hot is it in Mumbai right now?,en
মুম্বাইয়ে এখন কত গরম?,bn
ഇന്ന് ഡൽഹിയിലെ വായുവിന്റെ ഗുണനിലവാരം എങ്ങനെയാണ്?,ml
நாளை டெல்லியின் வானிலை எப்படி இருக்கும்?,ta
இந்த வார இறுதியில் சென்னையின் வானிலை எப்படி இருக்கும்?,ta
What is the air quality in Delhi today?,en
டெல்லியில் ஈரப்பதம் எவ்வளவு?,ta
What is the wind speed in Mumbai?,en
How is the air quality in Mumbai?,en
ದೆಹಲಿಯಲ್ಲಿ ತೇವಾಂಶ ಎಷ್ಟು?,kn
ಮುಂಬೈನಲ್ಲಿ ಗಾಳಿಯ ವೇಗ ಎಷ್ಟು?,kn
मुंबई में वायु गुणवत्ता कैसी है?,hi
मुंबई में अभी कितनी गर्मी है?,hi
ഡൽഹിയിലെ കാലാവസ്ഥ എങ്ങനെയാണ്?,ml
இன்று மும்பையின் வானிலை எப்படி உள்ளது?,ta
இன்று டெல்லியின் காற்றின் தரம் எப்படி உள்ளது?,ta
ഡൽഹിയിലെ ഈർപ്പം എത്രയാണ്?,ml
दिल्ली में नमी कितनी है?,hi
ಮುಂಬೈನ ಗಾಳಿಯ ಗುಣಮಟ್ಟ ಹೇಗಿದೆ?,kn
મુંબઈની હવાની ગુણવત્તા કેવી છે?,gu
What is the weather in Delhi?,en
ಮುಂಬೈನಲ್ಲಿ ಈಗ ಎಷ್ಟು ಬಿಸಿಯಾಗಿದೆ?,kn
