text,label
இன்று இரவு மும்பைல் எவ்வளவு வெப்பமாக இருக்கும்?,ta
বেঙ্গালুরু-তে এই সপ্তাহে আর্দ্রতা কত থাকবে?,bn
क्या कोलकाता में इस सप्ताहांत बादल छाए रहेंगे?,hi
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಹವಾಮಾನ ಹೇಗಿದೆ?,kn
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಗಾಳಿ ಎಷ್ಟು ವೇಗವಾಗಿ ಬೀಸುತ್ತದೆ?,kn
मुंबई में आज रात तूफान आने की संभावना है क्या?,hi
Will there be rain in Delhi today?,en
చెన్నైలో రేపు ఎండగా ఉంటుందా?,te
বেঙ্গালুরু-তে এই সপ্তাহে আবহাওয়া কেমন?,bn
চেন্নাই-তে আগামীকাল আকাশ পরিষ্কার থাকবে কি?,bn
बेंगलुरु में इस सप्ताह मौसम कैसा है?,hi
Do I need an umbrella in Delhi today?,en
কলকাতা-তে এই সপ্তাহান্তে তাপমাত্রা কত থাকবে?,bn
ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਤੂਫ਼ਾਨ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
ਕੀ ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਬਾਹਰ ਜਾਣ ਲਈ ਛਤਰੀ ਚਾਹੀਦੀ ਹੈ?,pa
ఈ రోజు ఢిల్లీలో ఎంత చల్లగా ఉంటుంది?,te
Give me the weather forecast for Bengaluru this week.,en
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਹਵਾ ਦੀ ਰਫ਼ਤਾਰ ਕਿੰਨੀ ਰਹੇਗੀ?,pa
মুম্বাই-তে আজ রাতে কি আকাশে মেঘ থাকবে?,bn
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಹವಾಮಾನದ ಬಗ್ಗೆ ಹೇಳಬಹುದೇ?,kn
சென்னைல் நாளை காற்றின் வேகம் எவ்வளவு இருக்கும்?,ta
கொல்கத்தால் இந்த வார இறுதியில் வானம் மேகமூட்டமாக இருக்குமா?,ta
Is Delhi likely to get rain today?,en
இன்று டெல்லில் வானிலை எப்படி இருக்கும்?,ta
मुंबई मध्ये आज रात्री हवामान कसे राहील?,mr
ದೆಹಲಿನಲ್ಲಿ ಇಂದು ಪ್ರಯಾಣಕ್ಕೆ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn
कल चेन्नई का मौसम कैसा रहेगा?,hi
આજે દિલ્હીમાં કેટલી ગરમી રહેશે?,gu
क्या मुंबई में आज रात मौसम बरसाती रहेगा?,hi
நாளை சென்னைல் எவ்வளவு வெப்பமாக இருக்கும்?,ta
दिल्ली मध्ये आज पावसाळी हवामान राहील का?,mr
ಕೋಲ್ಕತ್ತಾನಲ್ಲಿ ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಗಾಳಿ ಎಷ್ಟು ವೇಗವಾಗಿ ಬೀಸುತ್ತದೆ?,kn
ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਹਵਾ ਕਿੰਨੀ ਤੇਜ਼ ਚੱਲੇਗੀ?,pa
દિલ્હીમાં આજે આકાશ સ્વચ્છ રહેશે?,gu
How windy will it be in Kolkata this weekend?,en
ದೆಹಲಿನಲ್ಲಿ ಇಂದು ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn
Will there be thunderstorms in Chennai tomorrow?,en
ଚେନ୍ନାଇରେ ଆସନ୍ତାକାଲି ପାଗ କେମିତି ରହିବ?,or
কলকাতা-তে এই সপ্তাহান্তে বৃষ্টির সম্ভাবনা আছে কি?,bn
ਕੀ ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਬਾਹਰ ਜਾਣ ਲਈ ਛਤਰੀ ਚਾਹੀਦੀ ਹੈ?,pa
କୋଲକାତାରେ ଏହି ସପ୍ତାହାନ୍ତରେ ବାହାରକୁ ଯିବାବେଳେ ଛତା ଦରକାର କି?,or
ముంబైలో ఈ రాత్రి గాలి వేగం ఎంత ఉంటుంది?,te
ਕੀ ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਬੱਦਲ ਰਹਿਣਗੇ?,pa
బెంగళూరులో ఈ వారం గాలి వేగం ఎంత ఉంటుంది?,te
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਹੈ?,pa
क्या दिल्ली में आज बारिश होने की संभावना है?,hi
ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਤੂਫ਼ਾਨ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
What is the humidity in Mumbai tonight?,en
கொல்கத்தால் இந்த வார இறுதியில் இடியுடன் மழை பெய்யுமா?,ta
मुंबई मध्ये आज रात्री तापमान कसे राहील?,mr
டெல்லில் இன்று வெப்பநிலை எவ்வளவு இருக்கும்?,ta
મુંબઈમાં આજે રાત્રે પવન કેટલો ઝડપી હશે?,gu
What is the humidity in Kolkata this weekend?,en
କୋଲକାତାରେ ଏହି ସପ୍ତାହାନ୍ତରେ ବଜ୍ରପାତ ସହ ବର୍ଷା ହେବ କି?,or
Should I carry an umbrella in Bengaluru this week?,en
ಚೆನ್ನೈನಲ್ಲಿ ನಾಳೆ ಹವಾಮಾನದ ಬಗ್ಗೆ ಹೇಳಬಹುದೇ?,kn
ਕੀ ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਨਮੀ ਜ਼ਿਆਦਾ ਰਹੇਗੀ?,pa
சென்னைல் நாளை வானிலை எப்படி இருக்கிறது?,ta
கொல்கத்தால் இந்த வார இறுதியில் வானிலை பற்றி சொல்ல முடியுமா?,ta
बेंगलुरु में इस सप्ताह धूप रहने की संभावना है क्या?,hi
ఈ వారాంతంలో కోల్‌కతాలో వాతావరణం ఎలా ఉంటుంది?,te
મુંબઈમાં આજે રાત્રે વરસાદી હવામાન રહેશે?,gu
Is Kolkata weather suitable for going outside this weekend?,en
कोलकाता मध्ये या आठवड्याच्या शेवटी वादळ येईल का?,mr
कोलकाता मध्ये या आठवड्याच्या शेवटी बाहेर जाताना छत्री लागेल का?,mr
કોલકાતામાં આ સપ્તાહના અંતે બહાર જવા માટે છત્રી જોઈએ?,gu
కోల్‌కతాలో ఈ వారాంతంలో వర్షం పడుతుందా?,te
આ અઠવાડિયે બેંગલુરુમાં કેટલી ગરમી રહેશે?,gu
Is a storm expected in Mumbai tonight?,en
மும்பைல் இன்று இரவு மேகங்கள் இருக்குமா?,ta
कोलकाता मध्ये या आठवड्याच्या शेवटी आर्द्रता किती राहील?,mr
मुंबई मध्ये आज रात्री तापमान किती राहील?,mr
क्या दिल्ली में आज धूप निकलेगी?,hi
दिल्ली में आज मौसम कैसा है?,hi
ਕੀ ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਬਾਹਰ ਜਾਣ ਲਈ ਮੌਸਮ ਚੰਗਾ ਹੈ?,pa
బెంగళూరులో ఈ వారం ఎండ ఉండే అవకాశం ఉందా?,te
दिल्ली मध्ये आज वादळाची शक्यता आहे का?,mr
कोलकाता में इस सप्ताहांत यात्रा के लिए मौसम कैसा रहेगा?,hi
चेन्नई मध्ये उद्या प्रवासासाठी हवामान कसे राहील?,mr
ଏହି ସପ୍ତାହାନ୍ତରେ କୋଲକାତାରେ କେତେ ଥଣ୍ଡା ରହିବ?,or
ದೆಹಲಿನಲ್ಲಿ ಇಂದು ಚಂಡಮಾರುತದ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn
दिल्ली मध्ये आज वारा किती वेगाने वाहेल?,mr
आज दिल्ली मध्ये छत्री घेऊन जावे का?,mr
ಇಂದು ರಾತ್ರಿ ಮುಂಬೈನಲ್ಲಿ ಎಷ್ಟು ಬಿಸಿಯಾಗಿರುತ್ತದೆ?,kn
ದೆಹಲಿನಲ್ಲಿ ಇಂದು ಆಕಾಶ ಮೋಡ ಕವಿದಿರುತ್ತದೆಯೇ?,kn
బెంగళూరులో ఈ వారం ఆకాశం మేఘావృతంగా ఉంటుందా?,te
કોલકાતામાં આ સપ્તાહના અંતે આકાશ સ્વચ્છ રહેશે?,gu
ବେଙ୍ଗାଲୁରୁରେ ଏହି ସପ୍ତାହରେ ବାହାରକୁ ଯିବାବେଳେ ଛତା ଦରକାର କି?,or
Is sunshine expected in Delhi today?,en
ਇਸ ਹਫ਼ਤੇ ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਕਿੰਨੀ ਠੰਢ ਹੋਵੇਗੀ?,pa
क्या मुंबई में आज रात बारिश होने की संभावना है?,hi
આજે રાત્રે મુંબઈમાં કેટલી ઠંડી રહેશે?,gu
ચેન્નાઈમાં આવતીકાલે હવામાં ભેજ કેટલો રહેશે?,gu
కోల్‌కతాలో ఈ వారాంతంలో బయటకు వెళ్లడానికి గొడుగు అవసరమా?,te
કોલકાતામાં આ સપ્તાહના અંતે તોફાનની શક્યતા છે?,gu
இன்று இரவு மும்பைல் எவ்வளவு குளிராக இருக்கும்?,ta
ਕੋਲਕਾਤਾ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਹਵਾ ਦੀ ਨਮੀ ਕਿੰਨੀ ਹੋਵੇਗੀ?,pa
டெல்லில் இன்று புயல் வர வாய்ப்பு உள்ளதா?,ta
મુંબઈમાં આજે રાત્રે વરસાદની શક્યતા છે?,gu
આજે રાત્રે મુંબઈનું હવામાન કેવું રહેશે?,gu
ବେଙ୍ଗାଲୁରୁରେ ଏହି ସପ୍ତାହରେ ପବନର ବେଗ କେତେ ରହିବ?,or
এই সপ্তাহে বেঙ্গালুরু-তে কতটা ঠান্ডা থাকবে?,bn
ਮੁੰਬਈ ਵਿੱਚ ਅੱਜ ਰਾਤ ਤਾਪਮਾਨ ਕਿੰਨਾ ਰਹੇਗਾ?,pa
ଆଜି ରାତିରେ ମୁମ୍ବାଇରେ କେତେ ଗରମ ହେବ?,or
বেঙ্গালুরু-তে এই সপ্তাহে আকাশ কি মেঘলা থাকবে?,bn
ଦିଲ୍ଲୀରେ ଆଜି ଖରା ରହିବାର ସମ୍ଭାବନା ଅଛି କି?,or
ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਮੌਸਮ ਕਿਹੋ ਜਿਹਾ ਰਹੇਗਾ?,pa
કોલકાતામાં આ સપ્તાહના અંતે આકાશ વાદળછાયું રહેશે?,gu
આજે દિલ્હીમાં કેટલી ઠંડી રહેશે?,gu
What will the temperature be in Kolkata this weekend?,en
ಬೆಂಗಳೂರುನಲ್ಲಿ ಈ ವಾರ ಚಂಡಮಾರುತದ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn
What will the weather be like in Kolkata this weekend?,en
ఈ వారాంతంలో కోల్‌కతాలో ఎంత చల్లగా ఉంటుంది?,te
মুম্বাই-তে আজ রাতে বজ্রঝড় হবে কি?,bn
ବେଙ୍ଗାଲୁରୁରେ ଏହି ସପ୍ତାହରେ ବର୍ଷା ପାଗ ରହିବ କି?,or
ମୁମ୍ବାଇରେ ଆଜି ରାତିରେ ଆକାଶ ମେଘୁଆ ରହିବ କି?,or
କୋଲକାତାରେ ଏହି ସପ୍ତାହାନ୍ତରେ ଆର୍ଦ୍ରତା କେତେ ରହିବ?,or
Is the wind speed high in Chennai tomorrow?,en
கொல்கத்தால் இந்த வார இறுதியில் பயணம் செய்ய வானிலை எப்படி இருக்கும்?,ta
ચેન્નાઈમાં આવતીકાલે આકાશ વાદળછાયું રહેશે?,gu
மும்பைல் இன்று இரவு மழைக்கால வானிலை இருக்குமா?,ta
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಹೊರಗೆ ಹೋಗಲು ಹವಾಮಾನ ಉತ್ತಮವಾಗಿರುತ್ತದೆಯೇ?,kn
ଚେନ୍ନାଇରେ ଆସନ୍ତାକାଲି ଆର୍ଦ୍ରତା କେତେ ରହିବ?,or
क्या कोलकाता में इस सप्ताहांत हवा में नमी ज्यादा होगी?,hi
ಕೋಲ್ಕತ್ತಾನಲ್ಲಿ ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಆಕಾಶ ಮೋಡ ಕವಿದಿರುತ್ತದೆಯೇ?,kn
କୋଲକାତାରେ ଏହି ସପ୍ତାହାନ୍ତରେ ଝଡ଼ ହେବାର ସମ୍ଭାବନା ଅଛି କି?,or
कोलकाता मध्ये या आठवड्याच्या शेवटी आर्द्रता जास्त राहील का?,mr
বেঙ্গালুরু-তে এই সপ্তাহে ভ্রমণের জন্য আবহাওয়া কেমন থাকবে?,bn
ਕੋਲਕਾਤਾ ਲਈ ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਮੌਸਮ ਦੀ ਭਵਿੱਖਬਾਣੀ ਦੱਸੋ।,pa
चेन्नई में कल आसमान में बादल रहेंगे क्या?,hi
Will there be rain in Bengaluru this week?,en
আগামীকাল চেন্নাই-তে কতটা গরম পড়বে?,bn
ਕੀ ਕੋਲਕਾਤਾ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਆਸਮਾਨ ਸਾਫ਼ ਰਹੇਗਾ?,pa
டெல்லில் இன்று மேகங்கள் இருக்குமா?,ta
આજે રાત્રે મુંબઈમાં કેટલી ગરમી રહેશે?,gu
ଚେନ୍ନାଇରେ ଆସନ୍ତାକାଲି ବର୍ଷା ହେବାର ସମ୍ଭାବନା ଅଛି କି?,or
ਕੀ ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਧੁੱਪ ਨਿਕਲੇਗੀ?,pa
या आठवड्यात बेंगळुरू मध्ये किती उकाडा असेल?,mr
ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਤੂਫ਼ਾਨ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
ਕੀ ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਨਮੀ ਜ਼ਿਆਦਾ ਰਹੇਗੀ?,pa
How hot will it be in Bengaluru this week?,en
ଦିଲ୍ଲୀରେ ଆଜି ବାହାରକୁ ଯିବାବେଳେ ଛତା ଦରକାର କି?,or
दिल्ली साठी आज हवामानाचा अंदाज द्या.,mr
चेन्नई मध्ये उद्या ऊन पडेल का?,mr
ఢిల్లీలో ఈ రోజు ఉష్ణోగ్రత ఎంత ఉంటుంది?,te
ఢిల్లీలో ఈ రోజు గాలి ఎంత వేగంగా వీస్తుంది?,te
କୋଲକାତାରେ ଏହି ସପ୍ତାହାନ୍ତରେ ବାହାରକୁ ଯିବା ପାଇଁ ପାଗ ଭଲ କି?,or
आज दिल्ली में छाता लेकर जाना चाहिए क्या?,hi
ਕੀ ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਬੱਦਲ ਰਹਿਣਗੇ?,pa
ਕੀ ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਮੀਂਹ ਪੈਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
દિલ્હીમાં આજે હવામાન કેવું છે?,gu
कोलकाता मध्ये या आठवड्याच्या शेवटी ढग राहतील का?,mr
આ સપ્તાહના અંતે કોલકાતામાં કેટલી ગરમી રહેશે?,gu
कोलकाता मध्ये या आठवड्याच्या शेवटी पावसाची अपेक्षा आहे का?,mr
ಕೋಲ್ಕತ್ತಾನಲ್ಲಿ ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಬಿಸಿಲು ಇರುತ್ತದೆಯೇ?,kn
కోల్‌కతాలో ఈ వారాంతంలో వాతావరణం గురించి చెప్పగలరా?,te
மும்பைல் இன்று இரவு வெப்பநிலை எவ்வளவு இருக்கும்?,ta
பெங்களூருல் இந்த வாரம் வானம் தெளிவாக இருக்குமா?,ta
மும்பைல் இன்று இரவு வானம் மேகமூட்டமாக இருக்குமா?,ta
ચેન્નાઈમાં આવતીકાલે વરસાદ પડશે?,gu
ಇಂದು ದೆಹಲಿನಲ್ಲಿ ಛತ್ರಿ ತೆಗೆದುಕೊಂಡು ಹೋಗಬೇಕೇ?,kn
ମୁମ୍ବାଇରେ ଆଜି ରାତିରେ ତାପମାତ୍ରା କେତେ ରହିବ?,or
মুম্বাই-র আজ রাতে আবহাওয়ার পূর্বাভাস দিন।,bn
Will there be rain in Mumbai tonight?,en
तुम्ही मुंबई मधील आज रात्री हवामान सांगू शकता का?,mr
મુંબઈમાં આજે રાત્રે તેજ પવન ફૂંકાશે?,gu
How humid will it be in Kolkata this weekend?,en
பெங்களூருல் இந்த வாரம் மேகங்கள் இருக்குமா?,ta
बेंगळुरू मध्ये या आठवड्यात ढग राहतील का?,mr
பெங்களூருல் இந்த வாரம் வெளியே செல்ல குடை தேவையா?,ta
क्या चेन्नई में कल तेज हवाएं चलेंगी?,hi
ਕੀ ਦਿੱਲੀ ਵਿੱਚ ਅੱਜ ਆਸਮਾਨ ਬੱਦਲਾਂ ਨਾਲ ਘਿਰਿਆ ਰਹੇਗਾ?,pa
ಈ ವಾರ ಬೆಂಗಳೂರುನಲ್ಲಿ ಎಷ್ಟು ಚಳಿಯಾಗಿರುತ್ತದೆ?,kn
బెంగళూరులో ఈ వారం వాతావరణం గురించి చెప్పగలరా?,te
ਬੈਂਗਲੁਰੂ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਹਵਾ ਦੀ ਨਮੀ ਕਿੰਨੀ ਹੋਵੇਗੀ?,pa
કોલકાતામાં આ સપ્તાહના અંતે પવનની ઝડપ કેટલી રહેશે?,gu
चेन्नई में कल मौसम कैसा है?,hi
চেন্নাই-তে আগামীকাল তাপমাত্রা কত থাকবে?,bn
ਕੀ ਕੋਲਕਾਤਾ ਵਿੱਚ ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਮੀਂਹ ਪੈਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ?,pa
Will there be rain in Kolkata this weekend?,en
ದೆಹಲಿನಲ್ಲಿ ಇಂದು ಬಲವಾದ ಗಾಳಿ ಬೀಸುತ್ತದೆಯೇ?,kn
या आठवड्याच्या शेवटी कोलकाता मध्ये किती उकाडा असेल?,mr
ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਮੀਂਹ ਪਵੇਗਾ?,pa
দিল্লি-তে আজ কি জোরে বাতাস বইবে?,bn
Is Kolkata likely to get rain this weekend?,en
चेन्नई मध्ये उद्या आर्द्रता किती राहील?,mr
मुंबई में आज रात तापमान कितना रहेगा?,hi
क्या चेन्नई में कल हवा में नमी ज्यादा होगी?,hi
Is the weather good for travel in Chennai tomorrow?,en
ਚੇਨਈ ਵਿੱਚ ਕੱਲ੍ਹ ਹਵਾ ਦੀ ਨਮੀ ਕਿੰਨੀ ਹੋਵੇਗੀ?,pa
நாளை சென்னைல் எவ்வளவு குளிராக இருக்கும்?,ta
Is Delhi expected to be cloudy today?,en
ಮುಂಬೈನಲ್ಲಿ ಇಂದು ರಾತ್ರಿ ಮಳೆ ಬೀಳುತ್ತದೆಯೇ?,kn
દિલ્હીમાં આજે મુસાફરી માટે હવામાન કેવું રહેશે?,gu
కోల్‌కతాలో ఈ వారాంతంలో ఉష్ణోగ్రత ఎంత ఉంటుంది?,te
ಈ ವಾರ ಬೆಂಗಳೂರುನಲ್ಲಿ ಎಷ್ಟು ಬಿಸಿಯಾಗಿರುತ್ತದೆ?,kn
બેંગલુરુમાં આ અઠવાડિયે ભેજ કેટલો રહેશે?,gu
சென்னைல் நாளை மழை பெய்ய வாய்ப்பு உள்ளதா?,ta
तुम्ही दिल्ली मधील आज हवामान सांगू शकता का?,mr
मुंबई मध्ये आज रात्री आर्द्रता जास्त राहील का?,mr
ମୁମ୍ବାଇରେ ଆଜି ରାତିରେ ଆକାଶରେ ମେଘ ରହିବ କି?,or
ಚೆನ್ನೈನಲ್ಲಿ ನಾಳೆ ಬಲವಾದ ಗಾಳಿ ಬೀಸುತ್ತದೆಯೇ?,kn
ಕೋಲ್ಕತ್ತಾನಲ್ಲಿ ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ಮಳೆಯಾಗುವ ಸಾಧ್ಯತೆ ಇದೆಯೇ?,kn
ਇਸ ਹਫ਼ਤੇ ਦੇ ਅੰਤ ਵਿੱਚ ਕੋਲਕਾਤਾ ਵਿੱਚ ਕਿੰਨੀ ਠੰਢ ਹੋਵੇਗੀ?,pa
क्या कोलकाता में इस सप्ताहांत बाहर जाते समय छाता चाहिए?,hi
ಬೆಂಗಳೂರುನಲ್ಲಿ ಈ ವಾರ ಪ್ರಯಾಣಕ್ಕೆ ಹವಾಮಾನ ಹೇಗಿರುತ್ತದೆ?,kn
ଏହି ସପ୍ତାହାନ୍ତରେ କୋଲକାତାରେ କେତେ ଗରମ ହେବ?,or
दिल्ली मध्ये आज हवेतील आर्द्रता किती असेल?,mr
ବେଙ୍ଗାଲୁରୁରେ ଏହି ସପ୍ତାହରେ ବର୍ଷା ହେବ କି?,or
મુંબઈમાં આજે રાત્રે તાપમાન કેવું રહેશે?,gu
চেন্নাই-তে আগামীকাল আবহাওয়া কেমন?,bn
বেঙ্গালুরু-তে এই সপ্তাহে তাপমাত্রা কত থাকবে?,bn
ચેન્નાઈમાં આવતીકાલે તાપમાન કેવું રહેશે?,gu
चेन्नई के लिए कल मौसम का पूर्वानुमान बताइए।,hi
Is it going to rain in Bengaluru this week?,en
